GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q22179	lrx-1	located_in	GO:0012505	endomembrane system	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0147	6239	Caenorhabditis elegans	UniProt	LRP X(Cross)-hybridizing	20250428
UniProtKB	Q22179	lrx-1	located_in	GO:0016020	membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028763|UniProtKB-SubCell:SL-0162	6239	Caenorhabditis elegans	UniProt	LRP X(Cross)-hybridizing	20250428
UniProtKB	Q22179	lrx-1	involved_in	GO:0016192	vesicle-mediated transport	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028249	6239	Caenorhabditis elegans	UniProt	LRP X(Cross)-hybridizing	20250428
